usec,nw
20513,1
16416,2
14775,3
15026,4
13860,5
12859,6
9833,7
10597,8
13372,9
12371,10
12359,11
12938,12
11504,13
11030,14
12181,15
10681,16
16010,17
15434,18
17005,19
15235,20
17451,21
15072,22
17278,23
15090,24
16325,25
12452,26
13697,27
13265,28
15124,29
13292,30
13664,31
