usec,nw
15552,1
20631,2
19058,3
20677,4
17537,5
17212,6
14479,7
14558,8
16767,9
17225,10
16098,11
16318,12
15494,13
15646,14
15623,15
17025,16
19599,17
20258,18
34720,19
30770,20
42788,21
41544,22
41394,23
44520,24
46287,25
43740,26
39389,27
33206,28
40665,29
39479,30
42381,31
