29074,1
8230,2
5487,3
7415,4
5028,5
6004,6
4922,7
6845,8
7232,9
5750,10
7347,11
8048,12
7168,13
8508,14
7657,15
8357,16
9554,17
39782,18
66823,19
34766,20
19558,21
44660,22
12614,23
14810,24
16469,25
58677,26
16274,27
76708,28
15599,29
2377,1
2580,2
3776,3
3752,4
5327,5
5466,6
6496,7
5215,8
9021,9
7768,10
9085,11
7874,12
31680,13
44051,14
7775,15
7784,16
7722,17
8202,18
9108,19
9693,20
10681,21
44002,22
15841,23
10039,24
11297,25
23700,26
43579,27
14908,28
12536,29
1721,1
3044,2
3511,3
4500,4
4254,5
5799,6
4399,7
5738,8
8537,9
8074,10
6657,11
