r,5743
F,37416
b,15
e,91345
w,371085
r,5715
F,24341
b,15
e,88073
w,370865
r,6761
F,37664
b,15
e,97221
w,375095
r,5748
F,41917
b,14
e,82614
w,370921
r,5772
F,40337
b,15
e,81551
w,370685
r,5722
F,24296
b,17
e,88907
w,371408
r,6384
F,39134
b,15
e,94165
w,375214
r,5483
F,37380
b,18
e,86985
w,371238
r,6340
F,29151
b,16
e,96877
w,374538
r,5502
F,36030
b,14
e,90061
w,371790
r,5675
F,42280
b,15
e,78476
w,370550
r,5477
F,36232
b,15
e,92875
w,371209
r,5567
F,27774
b,15
e,83571
w,370360
r,5440
F,37191
b,15
e,89695
w,371118
r,5681
F,43602
b,15
e,83292
w,370685
r,6324
F,42536
b,15
e,92310
w,374639
r,5652
F,39121
b,15
e,84059
w,370518
r,6378
F,42900
b,16
e,87299
w,374301
r,5611
F,27619
b,17
e,78462
w,370824
r,6691
F,24325
b,15
e,89355
w,374557
