usec,nw
80851,1
86765,2
88122,3
69666,4
75499,5
70282,6
53614,7
61520,8
67994,9
73010,10
72743,11
50392,12
58042,13
46467,14
61253,15
67478,16
69707,17
68016,18
67051,19
77171,20
75541,21
86209,22
86795,23
100837,24
83857,25
80949,26
75527,27
77425,28
79432,29
79447,30
80128,31
