usec,nw
95701,1
65932,2
77563,3
54351,4
61899,5
58716,6
49036,7
63633,8
61928,9
56516,10
47588,11
53613,12
40861,13
48659,14
39081,15
61550,16
61081,17
62419,18
55071,19
56956,20
55203,21
50167,22
52364,23
50655,24
55700,25
52840,26
42817,27
49713,28
43291,29
48549,30
44280,31
