usec,nw
234462,1
89265,2
37186,3
18004,4
12595,5
10726,6
9191,7
7809,8
6151,9
8339,10
8433,11
6009,12
6192,13
5521,14
7235,15
7560,16
5576,17
5147,18
5501,19
5294,20
5215,21
5358,22
6979,23
7124,24
5909,25
6174,26
6059,27
6226,28
6012,29
6436,30
7796,31
6760,32
7703,33
7144,34
7087,35
8164,36
8427,37
8335,38
8321,39
