usec,nw
431809,1
287045,2
209602,3
217140,4
163463,5
165350,6
122692,7
117325,8
127143,9
153909,10
130016,11
159285,12
126052,13
156007,14
148157,15
154433,16
171379,17
202042,18
166959,19
179843,20
159361,21
160062,22
150316,23
148475,24
166579,25
142770,26
170197,27
149034,28
158811,29
144571,30
145654,31
