usec,nw
430293,1
237538,2
209108,3
162855,4
127308,5
112512,6
93021,7
95982,8
128906,9
98923,10
98271,11
99915,12
86836,13
96381,14
80081,15
117431,16
102900,17
88414,18
103386,19
104543,20
84744,21
106250,22
91564,23
99732,24
86699,25
77807,26
96306,27
84009,28
77273,29
80740,30
90421,31
