usec,nw
149710,1
96107,2
68838,3
63821,4
45361,5
48163,6
39297,7
53803,8
45024,9
45903,10
43452,11
39805,12
42925,13
39855,14
37554,15
40294,16
45568,17
50261,18
48559,19
46143,20
45432,21
45581,22
34092,23
40036,24
39510,25
43022,26
44818,27
44355,28
42047,29
39427,30
43031,31
