usec,nw
170886,1
108446,2
90001,3
79591,4
67638,5
57804,6
57907,7
56032,8
62139,9
61361,10
55030,11
59748,12
56124,13
51915,14
58468,15
68352,16
64840,17
87099,18
76600,19
95766,20
82949,21
90839,22
89218,23
83506,24
85425,25
77035,26
84190,27
75364,28
75114,29
70936,30
81826,31
